No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
18,BMAS,Bank Maspion Indonesia Tbk.,2020, 10.59 ,0.42,1.00,0.42,1.00,0.00,0.50,20.390,0.87,0.019,0.32,0.9575,0.17,0,0,1,0,-2.0695,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2015, 13.21 ,0.42,0.00,0.00,0.75,0.43,0.00,24.793,0.86,0.023,0.36,0.9851,0.19,0,0,1,1,4.8763,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2016, 13.29 ,0.17,0.00,0.00,0.50,0.00,0.00,24.948,0.84,0.040,0.37,0.9872,0.21,0,0,1,1,5.0331,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2017, 13.52 ,0.25,0.00,0.00,0.50,0.14,0.00,25.003,0.84,0.035,0.42,0.9879,0.22,0,0,1,0,5.0698,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2018, 13.64 ,0.42,0.00,0.00,1.00,0.14,0.00,24.995,0.83,0.028,0.43,0.9886,0.21,0,0,1,0,5.1743,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2019, 13.70 ,0.42,0.00,0.00,1.00,0.14,0.00,25.120,0.83,0.024,0.4,0.9898,0.21,0,0,1,0,5.0182,,
19,BMRI,Bank Mandiri (Persero) Tbk.,2020, 13.72 ,0.67,1.00,0.67,1.00,0.57,0.00,25.174,0.85,0.033,0.43,0.9907,0.20,0,0,1,0,-2.0695,,
20,BNBA,Bank Bumi Arta Tbk.,2017, 10.62 ,0.17,0.00,0.00,0.50,0.00,0.00,20.065,0.81,0.017,0.35,0.9667,0.26,0,0,1,0,5.0698,,
20,BNBA,Bank Bumi Arta Tbk.,2018, 10.62 ,0.08,0.00,0.00,0.25,0.00,0.00,20.038,0.8,0.015,0.38,0.9678,0.26,0,0,1,0,5.1743,,
20,BNBA,Bank Bumi Arta Tbk.,2019, 11.17 ,0.17,0.00,0.00,0.25,0.00,0.50,20.120,0.8,0.015,0.39,0.9702,0.24,0,0,1,1,5.0182,,
20,BNBA,Bank Bumi Arta Tbk.,2020, 11.70 ,0.25,1.00,0.25,0.50,0.00,0.50,20.110,0.8,0.026,0.39,0.9707,0.26,0,0,1,1,-2.0695,,
21,BNGA,Bank CIMB Niaga Tbk.,2015, 13.29 ,0.17,0.00,0.00,0.50,0.00,0.00,23.551,0.88,0.037,0.34,0.9929,0.16,0,0,1,0,4.8763,,
21,BNGA,Bank CIMB Niaga Tbk.,2016, 13.77 ,0.17,0.00,0.00,0.50,0.00,0.00,23.593,0.86,0.039,0.35,0.9931,0.18,0,0,1,0,5.0331,,
21,BNGA,Bank CIMB Niaga Tbk.,2017, 13.34 ,0.33,0.00,0.00,0.75,0.14,0.00,23.694,0.86,0.038,0.37,0.9938,0.18,0,0,1,0,5.0698,,
21,BNGA,Bank CIMB Niaga Tbk.,2018, 13.87 ,0.17,0.00,0.00,0.50,0.00,0.00,23.631,0.85,0.031,0.42,0.9938,0.19,0,0,1,0,5.1743,,
21,BNGA,Bank CIMB Niaga Tbk.,2019, 13.80 ,0.33,0.00,0.00,1.00,0.00,0.00,23.699,0.84,0.028,0.46,0.9942,0.21,0,0,1,0,5.0182,,
21,BNGA,Bank CIMB Niaga Tbk.,2020, 13.38 ,0.50,1.00,0.50,1.00,0.14,0.50,23.707,0.86,0.036,0.46,0.9944,0.21,0,0,1,0,-2.0695,,
22,BNII,Bank Maybank Indonesia Tbk.,2015, 12.39 ,0.08,0.00,0.00,0.25,0.00,0.00,23.102,0.9,0.037,0.36,0.9746,0.15,0,0,1,1,4.8763,,
22,BNII,Bank Maybank Indonesia Tbk.,2016, 12.40 ,0.25,0.00,0.00,0.50,0.14,0.00,23.169,0.89,0.034,0.34,0.9761,0.17,0,0,1,1,5.0331,,
22,BNII,Bank Maybank Indonesia Tbk.,2017, 12.44 ,0.33,0.00,0.00,0.75,0.14,0.00,23.192,0.88,0.028,0.37,0.9768,0.18,0,0,1,0,5.0698,,
22,BNII,Bank Maybank Indonesia Tbk.,2018, 12.43 ,0.25,0.00,0.00,0.50,0.14,0.00,23.146,0.86,0.026,0.4,0.9760,0.19,0,0,1,0,5.1743,,
22,BNII,Bank Maybank Indonesia Tbk.,2019, 12.43 ,0.42,0.00,0.00,1.00,0.14,0.00,23.133,0.85,0.036,0.4,0.9755,0.21,0,0,1,0,5.0182,,
22,BNII,Bank Maybank Indonesia Tbk.,2020, 12.73 ,0.50,1.00,0.50,1.00,0.14,0.50,23.168,0.85,0.041,0.44,0.9771,0.24,0,0,1,0,-2.0695,,
23,BNLI,Bank Permata Tbk.,2015, 13.04 ,0.17,0.00,0.00,0.50,0.00,0.00,23.337,0.9,0.027,0.27,0.9901,0.15,0,0,1,0,4.8763,,
23,BNLI,Bank Permata Tbk.,2016, 13.03 ,0.17,0.00,0.00,0.50,0.00,0.00,23.233,0.88,0.088,0.33,0.9809,0.16,1,0,1,0,5.0331,,
23,BNLI,Bank Permata Tbk.,2017, 13.00 ,0.25,0.00,0.00,0.50,0.14,0.00,23.114,0.86,0.046,0.42,0.9737,0.18,0,0,1,1,5.0698,,
23,BNLI,Bank Permata Tbk.,2018, 12.99 ,0.25,0.00,0.00,0.50,0.14,0.00,23.078,0.85,0.044,0.47,0.9744,0.19,0,0,1,1,5.1743,,
23,BNLI,Bank Permata Tbk.,2019, 13.13 ,0.42,0.00,0.00,1.00,0.00,0.50,23.174,0.85,0.028,0.47,0.9766,0.20,0,0,1,0,5.0182,,
23,BNLI,Bank Permata Tbk.,2020, 13.04 ,0.25,1.00,0.25,0.50,0.00,0.50,23.316,0.82,0.029,0.48,0.9803,0.36,0,0,1,0,-2.0695,,
24,BSIM,Bank Sinarmas Tbk.,2016, 10.31 ,0.17,0.00,0.00,0.50,0.00,0.00,21.566,0.86,0.021,0.64,0.9506,0.17,0,0,0,1,5.0331,,
24,BSIM,Bank Sinarmas Tbk.,2017, 11.12 ,0.17,0.00,0.00,0.50,0.00,0.00,21.532,0.84,0.038,0.58,0.9488,0.18,0,0,0,1,5.0698,,
24,BSIM,Bank Sinarmas Tbk.,2018, 11.13 ,0.17,0.00,0.00,0.50,0.00,0.00,21.476,0.84,0.047,0.63,0.9491,0.18,0,0,0,0,5.1743,,
24,BSIM,Bank Sinarmas Tbk.,2019, 11.20 ,0.17,0.00,0.00,0.50,0.00,0.00,21.690,0.83,0.078,0.69,0.9544,0.17,0,0,0,0,5.0182,,
24,BSIM,Bank Sinarmas Tbk.,2020, 11.14 ,0.25,1.00,0.25,0.50,0.00,0.50,21.875,0.86,0.048,0.83,0.9621,0.17,0,0,0,0,-2.0695,,
25,BSWD,Bank Of India Indonesia Tbk.,2016, 12.35 ,0.00,0.00,0.00,0.00,0.00,0.00,19.585,0.74,0.158,0.59,0.9512,0.35,1,1,0,1,5.0331,,
25,BSWD,Bank Of India Indonesia Tbk.,2017, 12.34 ,0.00,0.00,0.00,0.00,0.00,0.00,19.618,0.75,0.049,0.59,0.9380,0.43,1,1,0,1,5.0698,,
25,BSWD,Bank Of India Indonesia Tbk.,2018, 11.41 ,0.00,0.00,0.00,0.00,0.00,0.00,19.411,0.71,0.049,0.54,0.9275,0.39,0,1,0,1,5.1743,,
25,BSWD,Bank Of India Indonesia Tbk.,2019, 10.68 ,0.00,0.00,0.00,0.00,0.00,0.00,19.479,0.71,0.042,0.49,0.9319,0.46,0,0,0,0,5.0182,,
25,BSWD,Bank Of India Indonesia Tbk.,2020, 11.23 ,0.08,1.00,0.08,0.00,0.00,0.50,19.391,0.72,0.050,0.6,0.9278,0.45,1,0,0,1,-2.0695,,
26,BTPN,Bank BTPN Tbk.,2015, 12.76 ,0.17,0.00,0.00,0.50,0.00,0.00,22.437,0.82,0.007,0.36,0.9984,0.25,0,0,1,1,4.8763,,
26,BTPN,Bank BTPN Tbk.,2016, 12.85 ,0.17,0.00,0.00,0.50,0.00,0.00,22.565,0.82,0.008,0.41,0.9986,0.26,0,0,1,0,5.0331,,
26,BTPN,Bank BTPN Tbk.,2017, 12.94 ,0.17,0.00,0.00,0.50,0.00,0.00,22.583,0.82,0.009,0.49,0.9986,0.25,0,0,1,0,5.0698,,
